guide,target,n_assigned,n_rescue,mean_ntc,mean_assigned,mean_rescue,d_assigned,d_rescue,p_assigned_vs_ntc,p_rescue_vs_ntc,ratio_rescue_over_assigned,fdr_assigned_vs_ntc,fdr_rescue_vs_ntc,responsive,rescue_significant,rescuable,condition,n_lanes_pooled
S100A13-3,S100A13,94,12,0.0897717997431755,5.108458042144775,5.5065083503723145,5.889545917510986,8.158143043518066,6.7596778685342586e-62,1.8223645666542718e-10,1.3851904981777992,4.420078250702679e-60,2.070657235692387e-07,True,True,True,Rest,24
PVALB-4,PVALB,56,13,0.006639290135353804,3.65234637260437,3.9834389686584473,3.2487874031066895,7.062073707580566,4.024088829187409e-24,2.1633194174045485e-10,2.1737567994838254,3.028358409177481e-23,2.070657235692387e-07,True,True,True,Rest,24
FRRS1-1,FRRS1,61,10,0.0522414930164814,2.174903392791748,2.1201071739196777,3.869338274002075,6.6352105140686035,1.0568764340434033e-30,2.733941482434727e-08,1.71481789500037,1.2930806266830412e-29,5.9200008114149264e-06,True,True,True,Rest,24
UPK1B-4,UPK1B,142,14,0.00021427645697258413,3.4972949028015137,3.9369800090789795,3.7214930057525635,5.832983493804932,9.640632090204767e-66,4.852733844653722e-10,1.5673772555231178,7.181660740614564e-64,2.967267402243244e-07,True,True,True,Rest,24
CPNE3-2,CPNE3,56,15,0.6031780242919922,3.7337260246276855,4.0940704345703125,3.1342642307281494,5.4566850662231445,8.178506881108903e-25,1.9140335340623926e-11,1.7409779981936788,6.460471542996764e-24,3.66409819537344e-08,True,True,True,Rest,24
ARHGAP23-4,ARHGAP23,54,11,0.011361312121152878,1.8719016313552856,1.8930302858352661,4.0900115966796875,5.07797384262085,4.162127672278256e-28,1.3633816510549346e-07,1.2415548764563895,4.1585944569367635e-27,1.853874218099158e-05,True,True,True,Rest,24
OSBPL8-3,OSBPL8,31,12,0.7563346028327942,2.846752882003784,3.0675582885742188,3.517092227935791,4.825439453125,6.6119007441640335e-18,3.9153325906528755e-10,1.3719968486459304,3.2919658104403834e-17,2.810719383514933e-07,True,True,True,Rest,24
SPOCK2-3,SPOCK2,58,10,1.2107527256011963,3.8719019889831543,4.1578593254089355,3.4031364917755127,4.728450298309326,8.410762810898883e-31,2.9710526179197385e-08,1.3894389219288585,1.0333473724872637e-29,5.9200008114149264e-06,True,True,True,Rest,24
VGLL3-4,VGLL3,23,11,7.079848001012579e-05,2.8829267024993896,2.8875718116760254,3.210923910140991,4.607065200805664,1.2539720482001373e-10,3.892295650857757e-07,1.4348098334735588,3.6174634821852e-10,3.991688200513589e-05,True,True,True,Rest,24
GTF3C6-1,GTF3C6,16,10,0.8144452571868896,3.0074594020843506,3.295011520385742,2.6393649578094482,4.402258396148682,2.298667191047738e-07,1.4637189169731215e-07,1.6679233325134217,5.143595596698076e-07,1.9104858500401447e-05,True,True,True,Rest,24
FAM129A-2,NIBAN1,96,10,0.3238799571990967,2.4852514266967773,2.638298988342285,4.100790500640869,4.33427619934082,3.9494492377721468e-56,4.5452345753691133e-07,1.0569367536974792,1.9697041325668715e-54,4.350547027724137e-05,True,True,True,Rest,24
SCGB1A1-3,SCGB1A1,85,16,0.00038942531682550907,4.639686107635498,4.355081081390381,6.226788520812988,4.291232109069824,2.7666851562213234e-57,1.8462814073355518e-09,0.6891565523265191,1.4668416346272512e-55,7.068796081552049e-07,True,True,False,Rest,24
ENO2-1,ENO2,50,10,0.370616614818573,2.7911536693573,3.2303359508514404,2.7971255779266357,4.213547229766846,2.0194182006460767e-20,9.341918301882248e-07,1.5063847197343674,1.1778271665809873e-19,7.349402302425993e-05,True,True,True,Rest,24
APBB1IP-3,APBB1IP,70,10,1.0753698348999023,3.668475866317749,3.85805082321167,4.075999736785889,4.207801342010498,8.561310221414271e-43,4.155573636558704e-07,1.0323360190716158,2.2001445700010038e-41,4.186922700834497e-05,True,True,True,Rest,24
RANBP3L-2,RANBP3L,75,12,5.896289076190442e-05,1.4286397695541382,2.2101805210113525,1.9353076219558716,4.194278717041016,4.525532773368769e-19,2.8191082425686956e-07,2.167241357114157,2.4411329396219253e-18,3.1743526370571144e-05,True,True,True,Rest,24
RTN4-1,RTN4,23,10,0.5338508486747742,2.146239995956421,2.6100239753723145,2.2325336933135986,4.136892318725586,9.285868345104828e-09,2.6828117682997603e-07,1.8530033079077417,2.312625273421156e-08,3.1443648949684744e-05,True,True,True,Rest,24
IL18-2,IL18,62,14,0.005123613867908716,3.2851788997650146,2.662839889526367,4.18666934967041,4.131493091583252,2.0721280174218375e-32,3.0924608104204734e-08,0.9868209659089744,2.889685635670027e-31,5.9200008114149264e-06,True,True,True,Rest,24
RAB11FIP5-2,RAB11FIP5,35,10,0.14785811305046082,2.182084321975708,2.138563632965088,3.4394948482513428,4.008646488189697,2.7127730260132475e-17,1.7733290108718625e-06,1.1654753575885466,1.2895532518649402e-16,0.0001170600978096219,True,True,True,Rest,24
SH3GL3-3,SH3GL3,109,13,1.418756801285781e-05,1.6079665422439575,1.7942861318588257,3.120561122894287,3.958627939224243,8.721960328448445e-44,1.620678731832119e-07,1.268562858833753,2.3545291987577568e-42,2.06834621264708e-05,True,True,True,Rest,24
TMPRSS11E-4,TMPRSS11E,53,11,9.957434667740017e-05,3.4463367462158203,3.0020830631256104,5.987680912017822,3.9511845111846924,2.2038701530782048e-35,1.5900694754809099e-06,0.6598856166924835,3.674157464834344e-34,0.00010902410429556172,True,True,False,Rest,24
PDLIM1-3,PDLIM1,80,13,0.07042936980724335,2.8568451404571533,3.3062100410461426,3.527379035949707,3.8430864810943604,9.869790691034402e-37,1.8525681266154934e-07,1.0895019905507979,1.7982575299299523e-35,2.243317537104471e-05,True,True,True,Rest,24
ITGB5-1,ITGB5,61,15,0.00283338432200253,2.5391674041748047,2.5576019287109375,4.4620842933654785,3.821441650390625,2.0349194931519473e-33,2.61408820968648e-08,0.8564252486383094,3.031772460050433e-32,5.9200008114149264e-06,True,True,True,Rest,24
EGFL6-4,EGFL6,63,12,0.11369040608406067,3.2473607063293457,3.0251591205596924,3.6365034580230713,3.788336753845215,2.9880044237755255e-30,5.235620942007716e-07,1.0417525509255765,3.523929064913621e-29,4.7727255666587794e-05,True,True,True,Rest,24
DPP7-1,DPP7,51,12,0.4032922387123108,3.0694241523742676,2.6613519191741943,3.7089977264404297,3.734219551086426,1.0201985085233173e-26,1.6902813838099462e-07,1.006800172581988,9.208386844570127e-26,2.1102795624392438e-05,True,True,True,Rest,24
