guide,target,n_assigned,n_rescue,mean_ntc,mean_assigned,mean_rescue,d_assigned,d_rescue,p_assigned_vs_ntc,p_rescue_vs_ntc,ratio_rescue_over_assigned,fdr_assigned_vs_ntc,fdr_rescue_vs_ntc,responsive,rescue_significant,rescuable,condition,n_lanes_pooled
SCGB1A1-3,SCGB1A1,83,14,0.000244836846832186,4.2996110916137695,4.887526988983154,3.4499399662017822,10.857124328613281,9.236574629432995e-37,1.890901054595589e-13,3.1470473211064167,1.5665475248991987e-35,3.169150167502207e-10,True,True,True,Stim48hr,24
LIN7B-3,LIN7B,44,10,0.08442950248718262,2.0611422061920166,2.693507432937622,2.6092588901519775,8.67548942565918,2.8090437116133355e-16,1.1024142295038136e-09,3.3248864106213207,1.1223027996008973e-15,6.158820828827971e-07,True,True,True,Stim48hr,24
GAD1-3,GAD1,38,10,0.03587549179792404,2.742126703262329,3.0954320430755615,3.5303242206573486,8.035496711730957,4.0943226496310984e-18,7.83365650748491e-09,2.276135620833925,1.8774503680761402e-17,2.1882013844241183e-06,True,True,True,Stim48hr,24
KRT15-2,KRT15,122,12,0.0001041014984366484,4.010147571563721,4.618555545806885,4.172147274017334,7.388101577758789,4.756703040779022e-62,7.783108717522602e-10,1.7708151444627296,3.636392981323903e-60,4.891683828962955e-07,True,True,True,Stim48hr,24
FBP1-2,FBP1,57,10,0.03664620593190193,4.212400913238525,4.034211158752441,4.193081855773926,5.654692649841309,4.497984163439695e-30,2.1786364406846623e-07,1.3485767376696276,4.8707557896697927e-29,3.042828895489578e-05,True,True,True,Stim48hr,24
S100A4-4,S100A4,87,10,1.9267616271972656,6.428924083709717,6.347182273864746,5.336969375610352,5.529086589813232,5.212753032348472e-62,2.5366311787209247e-08,1.035997436125612,3.926429563483658e-60,5.314242319420337e-06,True,True,True,Stim48hr,24
GGT7-1,GGT7,28,13,0.05609123408794403,1.6918716430664062,1.9093691110610962,3.3419642448425293,5.388543128967285,1.7836941736422182e-13,1.8894519133624523e-09,1.612388025181038,5.940235082831887e-13,8.541005202941285e-07,True,True,True,Stim48hr,24
S100A13-4,S100A13,65,13,0.11069224029779434,4.957315444946289,5.316657543182373,5.267744541168213,5.191596031188965,2.2288023029043015e-40,6.37779336354241e-09,0.9855443806387846,4.796607309023459e-39,1.8863261783465433e-06,True,True,True,Stim48hr,24
CSRP1-4,CSRP1,91,12,0.6883438229560852,5.236186981201172,5.264247894287109,5.233835697174072,5.0552568435668945,6.521774725852047e-59,1.4750428381374438e-08,0.9658799274681857,4.395332913922919e-57,3.7082576950775337e-06,True,True,True,Stim48hr,24
GDF10-2,GDF10,47,10,0.0005875423084944487,2.307880401611328,2.7302727699279785,2.697021245956421,5.011017799377441,2.0989396274414528e-17,6.867325256317523e-07,1.8579823228646566,9.149590444046911e-17,6.481788725972772e-05,True,True,True,Stim48hr,24
