cond,lane,n_cells,n_multiplet,n_twin_reassigned,n_rescued,n_unassigned_before,n_unassigned_after,n_gene_cells,n_ntc_cells,n_gene_reassigned,batch
Stim8hr,CRaD5_L01,219562,29642,1678,144,81479,81335,108618,1645,1471,1
Stim8hr,CRaD5_L02,216717,30226,1875,144,77720,77576,109093,1696,1586,1
Stim8hr,CRaD5_L03,238117,32382,1943,144,87999,87855,117937,1886,1709,1
Stim8hr,CRaD5_L04,229319,31493,2000,159,83382,83223,114858,1745,1703,1
Stim8hr,CRaD5_L05,220454,30575,1913,148,80084,79936,110108,1747,1626,1
Stim8hr,CRaD5_L06,236930,32176,2006,149,87121,86972,117892,1895,1665,1
Stim8hr,CRaD5_L07,238082,32212,1966,132,87784,87652,118358,1825,1686,1
Stim8hr,CRaD5_L08,235350,32197,1945,171,87113,86942,116294,1860,1738,1
Stim8hr,CRaD5_L09,225721,29466,1546,205,85379,85174,110855,1770,1585,1
Stim8hr,CRaD5_L10,221582,29971,1767,153,81585,81432,110224,1720,1598,1
Stim8hr,CRaD5_L11,234275,32033,1888,157,86325,86168,116237,1724,1690,1
Stim8hr,CRaD5_L12,220541,30085,1886,143,81344,81201,109405,1735,1548,1
Stim8hr,CRaD5_L13,232082,29886,1827,144,88690,88546,113692,1785,1594,2
Stim8hr,CRaD5_L14,225084,28964,1807,143,85485,85342,110876,1708,1598,2
Stim8hr,CRaD5_L15,230177,29315,1759,155,88732,88577,112252,1790,1621,2
Stim8hr,CRaD5_L16,234346,30752,1715,178,88929,88751,114786,1771,1619,2
Stim8hr,CRaD5_L17,229042,29408,1704,182,88291,88109,111427,1800,1641,2
Stim8hr,CRaD5_L18,223728,28222,1744,144,86038,85894,109653,1702,1559,2
Stim8hr,CRaD5_L19,221417,29079,1764,158,83413,83255,109135,1712,1572,2
Stim8hr,CRaD5_L20,223795,29377,1770,148,84676,84528,109965,1693,1577,2
Stim8hr,CRaD5_L21,223233,28682,1744,151,85050,84899,109631,1765,1609,2
Stim8hr,CRaD5_L22,243441,31349,1841,139,93369,93230,118832,1869,1699,2
Stim8hr,CRaD5_L23,222765,28122,1723,137,85474,85337,109248,1781,1651,2
Stim8hr,CRaD5_L24,230904,29536,1713,165,88599,88434,112906,1741,1672,2
