cond,lane,complete,n_batch,n_cells,n_multiplet,n_twin_reassigned,n_rescued,n_unassigned_before,n_unassigned_after,n_gene_cells,n_ntc_cells,n_gene_reassigned,written
Stim8hr,CRaD5_L13,True,16,232082,29886,1827,144,88690,88546,113692,1785,1594,True
Stim8hr,CRaD5_L14,True,16,225084,28964,1807,143,85485,85342,110876,1708,1598,True
Stim8hr,CRaD5_L15,True,16,230177,29315,1759,155,88732,88577,112252,1790,1621,True
Stim8hr,CRaD5_L16,True,16,234346,30752,1715,178,88929,88751,114786,1771,1619,True
Stim8hr,CRaD5_L17,True,16,229042,29408,1704,182,88291,88109,111427,1800,1641,True
Stim8hr,CRaD5_L18,True,16,223728,28222,1744,144,86038,85894,109653,1702,1559,True
Stim8hr,CRaD5_L19,True,16,221417,29079,1764,158,83413,83255,109135,1712,1572,True
Stim8hr,CRaD5_L20,True,16,223795,29377,1770,148,84676,84528,109965,1693,1577,True
Stim8hr,CRaD5_L21,True,16,223233,28682,1744,151,85050,84899,109631,1765,1609,True
Stim8hr,CRaD5_L22,True,16,243441,31349,1841,139,93369,93230,118832,1869,1699,True
Stim8hr,CRaD5_L23,True,16,222765,28122,1723,137,85474,85337,109248,1781,1651,True
Stim8hr,CRaD5_L24,True,16,230904,29536,1713,165,88599,88434,112906,1741,1672,True
